fid,latitude,longitude,year
48980.0,15.70967732,74.04763076,2025
48981.0,15.70973127,74.04889731,2025
48982.0,15.71106464,74.04765653,2025
48839.5,15.804995,73.7337833,2024
48835.0,15.8050117,73.7341117,2024
48824.5,15.8054163,73.7356442,2024
48933.0,15.8237131,73.8448589,2024
48931.0,15.82553333,73.84375833,2024
48915.0,15.825876,73.8446503,2024
48805.0,15.85152592,73.85177159,2024
48806.0,15.85626906,73.85743425,2024
48846.5,15.8637081,73.7335934,2024
48923.0,15.87901833,73.63128167,2024
48922.0,15.87909167,73.63120167,2024
26295.0,15.9110532,74.2547969,2024
49011.0,15.9192253,73.6398236,2025
25812.0,15.92041769,74.183448,2024
26063.0,15.92041769,74.183448,2024
26030.0,15.93680333,74.37658333,2024
26029.0,15.93716333,74.37685333,2024
48970.0,15.93749187,73.5796578,2024
48800.0,15.941335,73.65616333,2024
49009.0,15.94575585,73.6549553,2025
26070.5,15.9464471,74.1854309,2024
26229.0,15.9465928,74.1854564,2024
26240.5,15.9465928,74.1854564,2024
26230.0,15.9465928,74.1854564,2024
26211.0,15.9466492,74.1854491,2024
26247.0,15.94665073,74.18545036,2024
26039.0,15.94665073,74.18545036,2024
25781.0,15.94672656,74.18549767,2024
25780.0,15.94674668,74.18541259,2024
26327.0,15.94679219,74.185297,2025
26328.0,15.94680979,74.18525342,2025
25783.0,15.94681034,74.1852882,2024
25782.0,15.94681046,74.18526507,2024
26278.0,15.94681109,74.1852608,2024
26092.0,15.94872833,74.27310833,2024
26115.0,15.94880333,74.27285167,2024
26091.0,15.94945167,74.27266333,2024
26028.0,15.95226167,74.39957667,2024
49114.0,15.9701126,73.71818,2025
26495.0,15.9876501,74.2922039,2025
48943.0,15.9879034,73.9313896,2024
26399.5,15.9998393,74.2643327,2025
25788.0,16.00356236,74.35078387,2024
25962.0,16.00359953,74.35052177,2024
26079.0,16.0041596,74.3333348,2024
25963.0,16.00424259,74.35060475,2024
26102.0,16.010906,74.3266702,2024
26078.0,16.0109332,74.3270368,2024
26037.5,16.0169858,74.319416,2024
26031.0,16.02676309,74.27489617,2024
26252.0,16.02680017,74.27493536,2024
26250.0,16.02680324,74.27493974,2024
26417.0,16.0307245,74.3145564,2024
26491.0,16.0356565,74.3368436,2025
26451.0,16.047328,74.3369978,2025
48808.0,16.0687677,73.7253721,2024
26495.0,16.079352,74.3688275,2025
25973.0,16.09664018,74.3158888,2024
25971.0,16.09666724,74.31585095,2024
25992.0,16.099597,74.2515385,2024
26487.0,16.1083141,74.1792261,2025
26501.0,16.1133837,74.3463225,2025
26123.0,16.1134011,74.1525374,2024
26395.0,16.11576833,74.33370167,2025
25991.0,16.11756517,74.29754863,2024
25989.0,16.11780384,74.29759381,2024
26515.0,16.120688,74.3831656,2025
26512.0,16.1207599,74.3829149,2025
26516.0,16.1207892,74.3829262,2025
26514.0,16.1208087,74.3831422,2025
26513.0,16.1213126,74.3843425,2025
26477.0,16.1241499,74.3376687,2025
25990.0,16.12557449,74.30846479,2024
26517.0,16.1265397,74.3314363,2025
26537.0,16.1396317,74.42385016,2025
26526.0,16.14233388,74.43226842,2025
26525.0,16.14235094,74.432306,2025
26535.0,16.14592995,74.42110952,2025
26536.0,16.14595937,74.42120891,2025
26534.0,16.14600609,74.42103827,2025
26510.0,16.1469665,74.178349,2025
26509.0,16.1470185,74.1785697,2025
26497.0,16.1470409,74.1780119,2025
26507.0,16.1471137,74.1781533,2025
26508.0,16.1479923,74.1796973,2025
26498.0,16.1481274,74.1796843,2025
26511.0,16.1481919,74.1796458,2025
26116.0,16.15495833,73.96050833,2024
26367.0,16.1568568,74.3787238,2025
48953.0,16.1579721,73.548554,2025
49040.0,16.1579721,73.548554,2025
26499.0,16.1662126,74.4359366,2025
48801.5,16.1675283,73.853295,2024
26446.0,16.1733967,74.3706602,2025
26486.0,16.1738122,74.2573643,2025
26346.0,16.17785992,74.06491737,2025
26485.0,16.1790918,74.2705675,2025
26322.0,16.1815004,74.2551637,2025
49031.0,16.1815778,73.8549547,2025
26345.0,16.18535601,74.07439686,2025
48955.0,16.1987858,73.7417178,2025
26127.0,16.19889189,74.10419052,2024
26532.0,16.20262921,74.49000835,2025
26348.0,16.2109355,74.0694837,2025
26260.0,16.2109464,74.2243522,2024
26492.0,16.2120599,74.260172,2025
26519.0,16.2125658,74.40458343,2025
26530.0,16.2152644,74.3295316,2025
26478.0,16.21835662,74.40341939,2025
26502.5,16.221025,74.2121767,2025
48796.0,16.2250235,73.8306801,2024
26505.0,16.22873333,74.20957667,2025
26539.0,16.229276,74.3252037,2025
49033.0,16.2292817,73.8227733,2025
26139.0,16.2383265,74.0823331,2024
26135.0,16.2472983,74.0755233,2024
26139.0,16.24729833,74.07552333,2024
26285.0,16.24731167,74.07559333,2024
26143.0,16.24764833,74.07546,2024
26185.0,16.24816833,74.075805,2024
26392.0,16.251195,74.44478833,2025
49124.0,16.25855309,73.45753106,2025
26255.0,16.25945167,73.984715,2024
26130.0,16.25955833,73.98526,2024
26131.0,16.25956333,73.98518333,2024
26132.0,16.25961833,73.98529667,2024
26411.0,16.2636684,74.0927383,2025
26187.0,16.26466167,74.00314167,2024
25764.0,16.26489333,74.00298167,2024
26253.0,16.26496833,74.003035,2024
26133.0,16.26499167,74.00293167,2024
49108.5,16.26634833,73.72110667,2025
26257.0,16.2664644,74.2925706,2024
48815.0,16.27386333,73.604625,2024
26226.0,16.273931,74.4109051,2024
48814.0,16.27406667,73.604575,2024
49129.0,16.27409915,73.43845552,2025
48817.0,16.27410333,73.60461667,2024
26225.0,16.2741251,74.4091824,2024
48816.0,16.274145,73.609775,2024
48818.0,16.27438,73.60981167,2024
48813.0,16.27447167,73.60453,2024
48809.0,16.27451833,73.60473667,2024
48810.0,16.274575,73.60461833,2024
25774.0,16.27985,74.06307,2024
25968.5,16.2808746,74.2423262,2024
26138.0,16.2824765,74.1274827,2024
26140.5,16.2824765,74.1274827,2024
25775.0,16.2826239,74.0735222,2024
48785.0,16.289745,73.510425,2024
48844.0,16.29046,73.50977667,2024
48845.0,16.29088167,73.509645,2024
48830.0,16.29130833,73.50946667,2024
48832.0,16.29157167,73.50944167,2024
48831.0,16.291655,73.509435,2024
26356.0,16.2953857,74.2452606,2025
26352.0,16.2953857,74.2452606,2025
26358.5,16.2961837,74.2463609,2025
48826.0,16.29705667,73.51140833,2024
26160.0,16.2983897,74.1861975,2024
48827.0,16.29938167,73.50909833,2024
48828.0,16.29938667,73.50912167,2024
26412.0,16.2996012,74.1693189,2025
48824.0,16.29971,73.50905667,2024
48825.0,16.300315,73.50941833,2024
26330.0,16.30032833,74.19819833,2025
26358.0,16.30032833,74.19819833,2025
48823.0,16.30068667,73.50915333,2024
48820.0,16.30081167,73.51033167,2024
48822.0,16.30085,73.510205,2024
48821.0,16.30093667,73.51044,2024
48784.0,16.30094833,73.51017167,2024
48829.0,16.30109333,73.50951833,2024
48899.0,16.30118333,73.50917833,2024
48789.0,16.302255,73.50925167,2024
25868.5,16.3093971,74.1619799,2024
49049.0,16.3104817,73.7663767,2025
49053.0,16.3116084,73.767411,2025
49052.0,16.3116826,73.7672516,2025
49050.0,16.311764,73.766937,2025
26351.0,16.3199748,74.2346826,2025
26329.0,16.3240866,74.2366888,2025
48983.0,16.3254518,73.441814,2025
49029.0,16.325655,73.441645,2025
26379.0,16.3298043,74.2309872,2025
26529.0,16.331182,74.1576776,2025
48918.0,16.33441935,73.73134881,2024
26368.0,16.3412933,74.2357348,2025
26399.5,16.3433324,74.1340891,2025
26373.0,16.344275,74.2392333,2025
48951.0,16.3456792,73.4638732,2025
49016.0,16.3495152,73.7461106,2025
49041.0,16.36232766,73.68921305,2025
49042.0,16.36244394,73.68920093,2025
49048.0,16.36462718,73.69057163,2025
49076.0,16.36468194,73.69065513,2025
48966.0,16.36468194,73.69065513,2025
49077.0,16.36484713,73.69045009,2025
49047.0,16.36484713,73.69045009,2025
48984.0,16.3659029,73.5117405,2025
26459.0,16.3732818,73.9968072,2025
25789.0,16.37651833,74.05835167,2024
26268.0,16.377295,74.05964,2024
26436.0,16.3846454,74.1557415,2025
26385.0,16.3852754,74.1546406,2025
26473.5,16.3921466,74.067648,2025
26404.0,16.3959084,74.1674842,2025
26369.0,16.3964821,74.2122463,2025
49022.5,16.3980414,73.7365691,2025
48889.5,16.3984694,73.4646097,2024
48961.0,16.3990082,73.744292,2025
26162.0,16.40147167,74.10034167,2024
26161.0,16.40167667,74.10244333,2024
48883.0,16.4016958,73.7376724,2024
48960.5,16.4018411,73.7395112,2025
26167.0,16.402435,74.09966333,2024
26331.0,16.4034407,74.2144474,2025
49023.0,16.4065815,73.3831013,2024
48803.0,16.4067127,73.8012855,2024
25886.5,16.410683,74.0350114,2024
48901.0,16.4136941,73.7902557,2024
48913.0,16.4178342,73.4363214,2024
26251.0,16.4188733,74.0181267,2024
48988.0,16.4188807,73.56007892,2025
26393.0,16.42041667,73.97955333,2025
26394.0,16.42043167,73.97957333,2025
26036.0,16.4210267,74.032445,2024
26473.0,16.4212699,74.0498319,2025
26381.0,16.4213767,74.0329417,2025
26035.0,16.4213867,74.0320867,2024
26472.0,16.4216121,74.0497592,2025
26034.0,16.4217967,74.0326167,2024
49092.0,16.4227222,73.711487,2025
26476.0,16.4227534,74.0651908,2025
49060.0,16.4235377,73.7748131,2025
48968.0,16.4238945,73.7748131,2025
26037.0,16.4253533,74.03681,2024
26458.0,16.4257367,74.0379498,2025
26457.0,16.4257776,74.0381372,2025
26038.0,16.4257867,74.0365833,2024
49127.0,16.4257926,73.7618484,2025
49126.0,16.425886,73.7618766,2025
49125.0,16.4258987,73.7618801,2025
49124.0,16.4260181,73.7620257,2025
49095.0,16.4262776,73.683236,2025
49093.0,16.4262776,73.683236,2025
49037.0,16.4263068,73.6836039,2025
49123.0,16.4264593,73.7625682,2025
49112.0,16.4267028,73.6975821,2025
49121.0,16.4269851,73.7633659,2025
48872.0,16.42719372,73.75819765,2024
26045.0,16.4318817,74.0387817,2024
48986.0,16.4338533,73.5617128,2025
48985.0,16.43404154,73.56169053,2024
48987.0,16.43411178,73.56160685,2024
48989.0,16.434114,73.5616488,2024
48954.0,16.43417856,73.56175566,2025
48940.0,16.43540333,73.63286333,2024
49115.0,16.4398311,73.759737,2025
49117.0,16.4398311,73.759737,2025
48865.5,16.4436807,73.766748,2024
48867.5,16.4470619,73.7708436,2024
49051.0,16.4480063,73.6335685,2025
49111.0,16.4482353,73.6677852,2025
49045.0,16.4482456,73.6320967,2025
26012.5,16.4483455,74.0599379,2024
48921.0,16.45006253,73.47742869,2024
49003.0,16.45029424,73.66013829,2025
49104.0,16.45038367,73.66023298,2025
49000.0,16.4503893,73.66025062,2025
49102.0,16.45040533,73.66027256,2025
49001.0,16.45044269,73.66027706,2025
49107.0,16.45092598,73.66033266,2025
49106.0,16.45097119,73.66035172,2025
49002.0,16.45107404,73.66033209,2025
49103.0,16.45109227,73.66034381,2025
49086.0,16.45111865,73.66036233,2025
49089.0,16.45112818,73.66037627,2025
49087.0,16.45114975,73.66038478,2025
49004.0,16.45125728,73.66042249,2025
49073.0,16.45130476,73.66041993,2025
49088.0,16.45133633,73.66041144,2025
49006.0,16.45134384,73.66039788,2025
48786.0,16.45140407,73.4751767,2024
49110.0,16.45151348,73.6600677,2025
49105.0,16.45158822,73.66032126,2025
49108.0,16.45159858,73.66034552,2025
49005.0,16.4516096,73.66036107,2025
49074.0,16.4516312,73.65946314,2025
49109.0,16.45167037,73.65936096,2025
48812.0,16.45168595,73.47517273,2024
48811.0,16.45171068,73.47488065,2024
49075.0,16.4517876,73.65942601,2025
48983.5,16.4519345,73.372159,2024
